,0,1
0,.,1063307
1,the,775332
2,",",629597
3,to,526684
4,`,465610
5,:,399692
6,/,389054
7,a,351976
8,-,328371
9,I,310485
10,(,302278
11,),286320
12,is,277838
13,and,264685
14,this,242820
15,in,240276
16,it,221656
17,*,218512
18,"""",203376
19,of,199419
20,for,197089
21,that,188812
22,you,179221
23,?,159630
24,[,152121
25,on,149514
26,],148056
27,be,137978
28,>,130140
29,with,129497
30,not,118559
31,',112106
32,#,99037
33,have,92049
34,as,89566
35,but,87712
36,!,86075
37,or,78587
38,if,78577
39,can,77499
40,are,76591
41,=,74533
42,at,73724
43,an,67899
44,we,67688
45,<S_CODE_TOKEN>,64286
46,from,63143
47,issue,62794
48,The,55927
49,like,55036
50,your,54987
51,will,51883
52,so,51736
53,would,50421
54,my,49422
55,This,49353
56,use,49142
57,when,47294
58,I'm,46824
59,do,46770
60,should,46691
61,code,46541
62,+,46497
63,by,45717
64,just,44710
65,using,44649
66,was,44125
67,If,43526
68,Thanks,41437
69,which,41033
70,there,40729
71,has,39096
72,all,38263
73,some,36233
74,any,35802
75,version,35635
76,work,34584
77,think,34560
78,request,34322
79,file,34173
80,don't,33134
81,me,32991
82,see,32725
83,one,32680
84,more,31779
85,It,31727
86,it's,31525
87,get,31520
88,only,30978
89,problem,30715
90,what,30086
91,PR,29669
92,new,29495
93,now,29195
94,error,29006
95,time,28980
96,same,28621
97,also,28455
98,here,27268
99,...,27142
100,need,27109
101,could,26755
102,way,26403
103,about,26382
104,no,26272
105,up,25839
106,out,25553
107,then,24978
108,make,24698
109,because,24575
110,into,24253
111,change,23637
112,how,23432
113,still,23103
114,does,22912
115,other,22705
116,want,22301
117,;,22279
118,i,22094
119,fix,21983
120,know,21635
121,case,21390
122,},21198
123,sure,21071
124,add,20928
125,something,20847
126,doesn't,20521
127,been,20357
128,{,20019
129,example,19586
130,works,19132
131,seems,18976
132,In,18697
133,am,18690
134,project,18636
135,I've,18275
136,set,17646
137,thanks,17488
138,after,16549
139,You,16227
140,fixed,16052
141,working,16003
142,try,15693
143,them,15640
144,good,15616
145,first,15608
146,they,15474
147,before,15319
148,since,14992
149,really,14950
150,right,14700
151,than,14507
152,used,14478
153,support,14207
154,But,14135
155,look,14082
156,without,13969
157,very,13830
158,its,13784
159,being,13574
160,instead,13571
161,well,13545
162,help,13520
163,too,13266
164,might,12689
165,Is,12678
166,:),12669
167,find,12398
168,added,12275
169,What,12135
170,already,11799
171,able,11786
172,When,11473
173,much,11361
174,possible,11289
175,For,11108
176,better,10540
177,It's,10064
