,0,1
0,.,447012
1,the,337186
2,",",258258
3,to,237279
4,`,230217
5,a,161848
6,is,124895
7,and,112887
8,this,112700
9,I,107155
10,in,106610
11,it,102134
12,:,98687
13,(,95433
14,of,95212
15,that,94882
16,you,94152
17,-,94137
18,),92662
19,for,90620
20,/,84592
21,be,67938
22,?,64564
23,on,61354
24,with,56222
25,>,55689
26,not,51932
27,"""",51438
28,[,48233
29,],47254
30,we,44636
31,as,42224
32,can,39955
33,have,38724
34,!,38007
35,are,37823
36,if,37478
37,but,36816
38,or,30514
39,an,29104
40,issue,28768
41,*,28656
42,your,28289
43,so,27069
44,will,26864
45,should,26668
46,This,26194
47,like,25780
48,The,25694
49,from,24685
50,would,23326
51,at,23229
52,do,23189
53,use,22477
54,',22229
55,just,21307
56,by,21288
57,think,20404
58,I'm,19535
59,which,19221
60,If,18615
61,code,18430
62,there,18388
63,Thanks,17763
64,don't,17591
65,all,17496
66,was,17455
67,when,17388
68,has,17204
69,some,16763
70,PR,16615
71,<S_CODE_TOKEN>,16563
72,using,16516
73,more,16469
74,it's,16297
75,see,15751
76,new,15520
77,work,15296
78,one,15251
79,need,15074
80,now,14919
81,what,14845
82,any,14517
83,could,14439
84,about,14157
85,version,14042
86,=,14038
87,It,14016
88,only,13836
89,also,13546
90,because,13321
91,make,13273
92,here,13046
93,me,12696
94,out,12537
95,file,12423
96,fix,12214
97,get,12163
98,way,11969
99,change,11878
100,want,11676
101,no,11618
102,+,11525
103,up,11329
104,into,11203
105,my,11067
106,add,10966
107,problem,10835
108,then,10722
109,still,10721
110,other,10697
111,been,10625
112,case,10560
113,sure,10270
114,how,10075
115,good,9997
116,You,9905
117,does,9832
118,request,9690
119,thanks,9681
120,doesn't,9403
121,time,9257
122,same,9175
123,know,9069
124,something,8860
125,...,8584
126,fixed,8448
127,since,8394
128,look,8351
129,them,8270
130,support,8269
131,#,8167
132,they,8144
133,example,7964
134,seems,7687
135,than,7405
136,try,7299
137,before,7290
138,set,7260
139,might,7150
140,right,7149
141,really,7056
142,In,7008
143,error,6926
144,its,6816
145,being,6781
146,:),6706
147,used,6574
148,very,6511
149,I've,6474
150,instead,6346
151,first,6262
152,works,6187
153,better,6160
154,project,6125
155,well,6121
156,too,6057
157,already,6020
158,after,5902
159,working,5878
160,without,5824
161,added,5683
162,possible,5586
163,much,5483
164,;,5401
165,But,5383
166,able,5229
167,It's,5143
168,What,5080
169,help,5001
170,For,4806
171,},4227
172,find,4208
173,Is,4173
174,am,4087
175,{,3918
176,i,3838
177,When,2966
