,0,1
0,.,616304
1,the,438146
2,",",371339
3,/,304462
4,:,301005
5,to,289405
6,`,235393
7,-,234234
8,(,206845
9,I,203330
10,),193658
11,a,190128
12,*,189856
13,is,152943
14,"""",151938
15,and,151798
16,in,133666
17,this,130120
18,it,119522
19,for,106469
20,of,104207
21,[,103888
22,],100802
23,?,95066
24,that,93930
25,#,90870
26,',89877
27,on,88160
28,you,85069
29,>,74451
30,with,73275
31,be,70040
32,not,66627
33,=,60495
34,have,53325
35,but,50896
36,at,50495
37,or,48073
38,!,48068
39,<S_CODE_TOKEN>,47723
40,as,47342
41,if,41099
42,an,38795
43,are,38768
44,from,38458
45,my,38355
46,can,37544
47,+,34972
48,issue,34026
49,The,30233
50,when,29906
51,like,29256
52,using,28133
53,code,28111
54,I'm,27289
55,would,27095
56,your,26698
57,was,26670
58,use,26665
59,will,25019
60,If,24911
61,so,24667
62,request,24632
63,by,24429
64,Thanks,23674
65,do,23581
66,just,23403
67,This,23159
68,we,23052
69,there,22341
70,error,22080
71,has,21892
72,which,21812
73,file,21750
74,version,21593
75,any,21285
76,all,20767
77,me,20295
78,should,20023
79,problem,19880
80,time,19723
81,some,19470
82,same,19446
83,get,19357
84,work,19288
85,...,18560
86,i,18256
87,It,17711
88,one,17429
89,only,17142
90,see,16974
91,},16971
92,;,16878
93,{,16101
94,don't,15543
95,more,15310
96,what,15241
97,it's,15228
98,also,14909
99,no,14654
100,am,14603
101,up,14510
102,way,14434
103,now,14276
104,then,14256
105,here,14222
106,think,14156
107,new,13975
108,how,13357
109,does,13080
110,PR,13054
111,into,13050
112,out,13016
113,works,12945
114,know,12566
115,project,12511
116,still,12382
117,could,12316
118,about,12225
119,need,12035
120,other,12008
121,something,11987
122,I've,11801
123,change,11759
124,In,11689
125,example,11622
126,make,11425
127,seems,11289
128,because,11254
129,doesn't,11118
130,case,10830
131,sure,10801
132,after,10647
133,want,10625
134,set,10386
135,working,10125
136,add,9962
137,fix,9769
138,been,9732
139,first,9346
140,But,8752
141,help,8519
142,When,8507
143,Is,8505
144,try,8394
145,find,8190
146,without,8145
147,before,8029
148,used,7904
149,really,7894
150,thanks,7807
151,fixed,7604
152,right,7551
153,well,7424
154,them,7370
155,they,7330
156,very,7319
157,instead,7225
158,too,7209
159,than,7102
160,What,7055
161,its,6968
162,being,6793
163,since,6598
164,added,6592
165,able,6557
166,You,6322
167,For,6302
168,:),5963
169,support,5938
170,much,5878
171,already,5779
172,look,5731
173,possible,5703
174,good,5619
175,might,5539
176,It's,4921
177,better,4380
